Customer ID,Date,Invoice Num,Debit,Credit,Total Cases,Status,Time Entered,Memo,Customer Type,Time Updated
27868924,7/26/2023,W-11019389,$0.00 ,$0.00 ,4,<b class=pill-brown>Loaded</b>,7/26/2023 4:10,,Adjustments,7/26/2023 4:10
14760,7/26/2023,W-64594213,$36.19 ,$0.00 ,1,<b class=pill-brown>Loaded</b>,7/26/2023 4:42,,Convenience*,7/26/2023 4:42
12954,7/26/2023,W-73101073,$509.96 ,$0.00 ,12,<b class=pill-brown>Loaded</b>,7/26/2023 4:56,,Convenience*,7/26/2023 4:56
27868924,7/25/2023,W-11016852,$0.00 ,$0.00 ,0,<b class=pill-green>Balanced</b>,7/25/2023 4:01,,Adjustments,7/25/2023 4:01
27874921,7/25/2023,W-73700465,$603.83 ,$0.00 ,13,<b class=pill-green>Balanced</b>,7/25/2023 18:14,,Convenience*,7/25/2023 18:14
27868795,7/25/2023,W-11019331,$0.00 ,$0.00 ,0,<b class=pill-green>Balanced</b>,7/25/2023 18:11,,Adjustments,7/25/2023 18:11
27868885,7/24/2023,W-11016806,$0.00 ,$0.00 ,10,<b class=pill-green>Balanced</b>,7/24/2023 17:56,,Adjustments,7/24/2023 23:23
27869051,7/25/2023,W-11019360,$0.00 ,$0.00 ,0,<b class=pill-green>Balanced</b>,7/25/2023 20:50,,Adjustments,7/25/2023 23:23
5285,7/26/2023,W-70432526,$472.83 ,$0.00 ,11,<b class=pill-brown>Loaded</b>,7/26/2023 9:07,,Grocery*,7/26/2023 9:07
27867499,7/24/2023,W-63754239,"$1,208.72 ",$0.00 ,30,<b class=pill-green>Balanced</b>,7/24/2023 8:49,,Convenience*,7/25/2023 7:51
13843,7/26/2023,W-69982805,$201.00 ,$0.00 ,4,<b class=pill-brown>Loaded</b>,7/26/2023 9:18,,Convenience*,7/26/2023 9:18
27875239,7/26/2023,6440001954,$982.01 ,$0.00 ,21,<b class=pill-brown>Loaded</b>,7/26/2023 9:19,,Convenience*,7/26/2023 9:19
26774,7/26/2023,W-63223402,$180.95 ,$180.95 ,5,<b class=pill-brown>Loaded</b>,7/26/2023 7:41,,Convenience*,7/26/2023 7:41
27873828,7/26/2023,W-68861952,$267.76 ,$267.76 ,7,<b class=pill-brown>Loaded</b>,7/26/2023 9:00,,Convenience*,7/26/2023 9:00
16653,7/26/2023,6316004935,$871.40 ,$0.00 ,20,<b class=pill-brown>Loaded</b>,7/26/2023 7:57,,Convenience*,7/26/2023 7:57
3161,7/26/2023,W-64465579,($1.53),$0.00 ,0,<b class=pill-brown>Loaded</b>,7/26/2023 9:12,,Convenience*,7/26/2023 9:12
27872242,7/26/2023,W-73660327,$424.82 ,$0.00 ,10,<b class=pill-brown>Loaded</b>,7/26/2023 7:51,,Convenience*,7/26/2023 7:51
