Task ID,Date Completed,Customer Num,Please select a reason why no sale took place:
23570754,7/30/2023,1881,Temporarily Closed
23561355,8/4/2023,26867,Temporarily Closed
23553490,8/4/2023,5224,Temporarily Closed
23553201,8/4/2023,21297,Temporarily Closed
23540394,8/3/2023,27873610,Temporarily Closed
23540239,8/3/2023,27871586,Temporarily Closed
23540201,8/3/2023,19438,Temporarily Closed
23540193,8/3/2023,7995,Temporarily Closed
23532406,8/3/2023,27872849,Temporarily Closed
23532251,8/3/2023,8774,Temporarily Closed
23532248,8/3/2023,8742,Temporarily Closed
23522749,8/2/2023,27873174,Temporarily Closed
23516233,8/2/2023,27876110,Temporarily Closed
23515997,8/2/2023,27869291,Temporarily Closed
23515918,8/2/2023,9500,Temporarily Closed
23515751,8/2/2023,6656,Temporarily Closed
23515745,8/2/2023,26368,Temporarily Closed
23507880,8/2/2023,27876211,Temporarily Closed
23507811,8/2/2023,26462,Temporarily Closed
23507725,8/2/2023,27876180,Temporarily Closed
23507511,8/2/2023,10173,Temporarily Closed
23507470,8/2/2023,27875740,Temporarily Closed
23497362,8/1/2023,27868719,Temporarily Closed
23497206,8/1/2023,25920,Temporarily Closed
23491327,8/1/2023,27876237,Temporarily Closed
23491197,8/1/2023,27863689,Temporarily Closed
23490720,8/1/2023,27876177,Temporarily Closed
23490681,8/1/2023,27874320,Temporarily Closed
23490672,8/1/2023,7557,Temporarily Closed
23482857,8/1/2023,27872799,Temporarily Closed
23482642,8/1/2023,27875042,Temporarily Closed
23482615,8/1/2023,27873927,Temporarily Closed
23482019,8/1/2023,27871095,Temporarily Closed
23465435,7/31/2023,9691,Temporarily Closed
23457662,7/31/2023,27874417,Temporarily Closed
23457407,7/31/2023,27874474,Temporarily Closed
23457229,7/31/2023,27875374,Temporarily Closed
23602659,8/2/2023,27868151,Scanner Down
23578749,8/1/2023,27873207,Scanner Down
23561418,8/4/2023,27872835,Scanner Down
23561147,8/4/2023,16174,Scanner Down
23546834,8/3/2023,27873502,Scanner Down
23540577,8/3/2023,278442,Scanner Down
23540432,8/3/2023,27868334,Scanner Down
23540428,8/3/2023,27863163,Scanner Down
23540378,8/3/2023,27869513,Scanner Down
23540168,8/3/2023,27864828,Scanner Down
23540106,8/3/2023,27874494,Scanner Down
23540065,8/3/2023,27873835,Scanner Down
23532840,8/3/2023,277987,Scanner Down
23532745,8/3/2023,27870809,Scanner Down
23532713,8/3/2023,26470,Scanner Down
23532512,8/3/2023,27874896,Scanner Down
23532097,8/3/2023,27874222,Scanner Down
23522725,8/2/2023,7993,Scanner Down
23522550,8/2/2023,7858,Scanner Down
23516328,8/2/2023,27876035,Scanner Down
23516169,8/2/2023,27875006,Scanner Down
23516120,8/2/2023,27313,Scanner Down
23515951,8/2/2023,278064,Scanner Down
23507663,8/2/2023,26473,Scanner Down
23507440,8/2/2023,26526,Scanner Down
23482520,8/1/2023,19419,Scanner Down
23482263,8/1/2023,27870707,Scanner Down
23481925,8/1/2023,27873724,Scanner Down
23472120,7/31/2023,27869509,Scanner Down
23458000,7/31/2023,26749,Scanner Down
23457986,7/31/2023,19423,Scanner Down
23457983,7/31/2023,27869906,Scanner Down
23457790,8/1/2023,27872447,Scanner Down
23457389,7/31/2023,27871875,Scanner Down
23457259,7/31/2023,27868372,Scanner Down
23457194,7/31/2023,3632,Scanner Down
23507540,8/2/2023,27873397,Out of Business
23482361,8/1/2023,27876004,Out of Business
23630189,8/3/2023,25075,Order Refused
23628103,8/3/2023,27874120,Order Refused
23603872,8/2/2023,27872139,Order Refused
23572446,7/31/2023,278399,Order Refused
23572207,7/31/2023,26363,Order Refused
23572173,7/31/2023,27868413,Order Refused
23572051,7/31/2023,16384,Order Refused
23570772,7/30/2023,27868275,Order Refused
23568739,8/4/2023,4693,Order Refused
23561577,8/4/2023,27864046,Order Refused
23561362,8/4/2023,27864878,Order Refused
23561182,8/4/2023,23464,Order Refused
23561150,8/4/2023,27563,Order Refused
23561138,8/4/2023,13633,Order Refused
23553651,8/4/2023,19511,Order Refused
23553390,8/4/2023,27865411,Order Refused
23553354,8/4/2023,27871107,Order Refused
23553353,8/4/2023,8368,Order Refused
23553351,8/4/2023,278568,Order Refused
23553347,8/4/2023,30053,Order Refused
23553115,8/4/2023,9360,Order Refused
23546996,8/3/2023,27871935,Order Refused
23546993,8/3/2023,11949,Order Refused
23546991,8/3/2023,9732,Order Refused
23546917,8/3/2023,15610,Order Refused
23546905,8/3/2023,12937,Order Refused
23546880,8/3/2023,27875635,Order Refused
23546872,8/3/2023,25282,Order Refused
23546868,8/3/2023,14195,Order Refused
23546591,8/3/2023,13068,Order Refused
23540607,8/3/2023,6655,Order Refused
23540551,8/3/2023,25691,Order Refused
23540518,8/3/2023,27870029,Order Refused
23540462,8/3/2023,27873419,Order Refused
23540460,8/3/2023,11937,Order Refused
23540419,8/3/2023,27863853,Order Refused
23540418,8/3/2023,11320,Order Refused
23540400,8/3/2023,27869502,Order Refused
23540385,8/3/2023,15718,Order Refused
23540336,8/3/2023,25115,Order Refused
23540332,8/3/2023,27240,Order Refused
23540325,8/3/2023,20918,Order Refused
23540323,8/3/2023,14158,Order Refused
23540318,8/3/2023,27570,Order Refused
23540279,8/3/2023,30001,Order Refused
23540275,8/3/2023,18898,Order Refused
23540211,8/3/2023,22318,Order Refused
23540189,8/3/2023,5989,Order Refused
23540188,8/3/2023,27872025,Order Refused
23540184,8/3/2023,5570,Order Refused
23540156,8/3/2023,27875231,Order Refused
23540075,8/3/2023,19514,Order Refused
23540074,8/3/2023,8893,Order Refused
23540070,8/3/2023,19306,Order Refused
23540068,8/3/2023,8895,Order Refused
23540066,8/3/2023,27873167,Order Refused
23540062,8/3/2023,27871949,Order Refused
23540035,8/3/2023,27867940,Order Refused
23540032,8/3/2023,23330,Order Refused
23540022,8/3/2023,27873606,Order Refused
23540004,8/3/2023,25375,Order Refused
23540003,8/3/2023,17593,Order Refused
23539989,8/3/2023,25469,Order Refused
23539959,8/3/2023,7925,Order Refused
23539957,8/3/2023,27872857,Order Refused
23539951,8/3/2023,2374,Order Refused
23532887,8/3/2023,27875069,Order Refused
23532886,8/3/2023,277941,Order Refused
23532862,8/3/2023,3382,Order Refused
23532861,8/3/2023,412,Order Refused
23532828,8/3/2023,27863864,Order Refused
23532714,8/3/2023,25826,Order Refused
23532651,8/3/2023,8698,Order Refused
23532649,8/3/2023,27868348,Order Refused
23532647,8/3/2023,27867530,Order Refused
23532588,8/3/2023,27874802,Order Refused
23532521,8/3/2023,19442,Order Refused
23532515,8/3/2023,27873264,Order Refused
23532466,8/3/2023,19347,Order Refused
23532465,8/3/2023,278221,Order Refused
23532369,8/3/2023,27874602,Order Refused
23532349,8/3/2023,19176,Order Refused
23532348,8/3/2023,27872344,Order Refused
23532331,8/3/2023,27863952,Order Refused
23532277,8/3/2023,27874592,Order Refused
23532276,8/3/2023,19377,Order Refused
23532274,8/3/2023,9663,Order Refused
23532273,8/3/2023,8518,Order Refused
23532247,8/3/2023,19501,Order Refused
23532246,8/3/2023,19340,Order Refused
23532245,8/3/2023,27866685,Order Refused
23532242,8/3/2023,27865307,Order Refused
23532241,8/3/2023,9413,Order Refused
23532240,8/3/2023,9713,Order Refused
23532176,8/3/2023,2019,Order Refused
23532156,8/3/2023,24953,Order Refused
23532128,8/3/2023,27872573,Order Refused
23532126,8/3/2023,27870843,Order Refused
23528657,7/30/2023,27868277,Order Refused
23527044,7/31/2023,8895,Order Refused
23522848,8/2/2023,27874216,Order Refused
23522846,8/2/2023,18889,Order Refused
23522843,8/2/2023,27864890,Order Refused
23522744,8/2/2023,27875998,Order Refused
23522692,8/2/2023,27075,Order Refused
23522529,8/2/2023,27874217,Order Refused
23522527,8/2/2023,11701,Order Refused
23522524,8/2/2023,10157,Order Refused
23516445,8/2/2023,27872442,Order Refused
23516292,8/2/2023,10142,Order Refused
23516189,8/2/2023,12613,Order Refused
23516186,8/2/2023,18196,Order Refused
23516139,8/2/2023,18783,Order Refused
23516119,8/2/2023,27872510,Order Refused
23516110,8/2/2023,27872308,Order Refused
23516103,8/2/2023,16055,Order Refused
23516066,8/2/2023,10188,Order Refused
23516062,8/2/2023,26389,Order Refused
23516058,8/2/2023,10857,Order Refused
23516054,8/2/2023,10755,Order Refused
23516053,8/2/2023,13424,Order Refused
23516051,8/2/2023,27873778,Order Refused
23516006,8/2/2023,27873889,Order Refused
23515996,8/2/2023,27866654,Order Refused
23515977,8/2/2023,1007,Order Refused
23515972,8/2/2023,27870478,Order Refused
23515957,8/2/2023,24427,Order Refused
23515952,8/2/2023,27875997,Order Refused
23515946,8/2/2023,16907,Order Refused
23515930,8/2/2023,27875289,Order Refused
23515888,8/2/2023,8991,Order Refused
23515841,8/2/2023,1323,Order Refused
23515838,8/2/2023,278045,Order Refused
23515763,8/2/2023,6594,Order Refused
23515756,8/2/2023,27875108,Order Refused
23515731,8/2/2023,25252,Order Refused
23515729,8/2/2023,25736,Order Refused
23515723,8/2/2023,17792,Order Refused
23515717,8/2/2023,16819,Order Refused
23515678,8/2/2023,10629,Order Refused
23515648,8/2/2023,27872901,Order Refused
