Document ID,Document Description,URL,Document Type,Photo Taken Time,Created By,Customer ID
3718564,No Sale Survey ANGLERS CORNER (EXXON),https://cdn.e8.co/JEC/S3Images/94b4c68f785723b09ef4b049547068ec.jpg,Default,7/19/2023 1:26 PM,tegbe,10398
3718607,No Sale Survey ROYAL BLUE #2,https://cdn.e8.co/JEC/S3Images/dd2b140f7bc5f2fa6ff5adfd8e824a85.jpg,Default,7/19/2023 1:38 PM,erodriguez,19401
3718563,No Sale Survey ANGLERS CORNER (EXXON),https://cdn.e8.co/JEC/S3Images/7e53492520624826ab21ff631b5eeb34.jpg,Default,7/19/2023 1:27 PM,tegbe,10398
3719956,No Sale Survey ALLSUP'S #102061,https://cdn.e8.co/JEC/S3Images/00c4668716f38c7f6c8b0a8d56654446.jpg,Default,7/20/2023 11:54 AM,dgarcia,27873470
3720073,No Sale Survey DISCOUNT MART (LAFAYETTE),https://cdn.e8.co/JEC/S3Images/05d38cc86ffb1f3a6236c5b37c30f34c.jpg,Default,7/20/2023 12:35 PM,JStephens,27875044
3720045,No Sale Survey REWIND,https://cdn.e8.co/JEC/S3Images/b3be48762df507c28136ccd312c114e8.jpg,Default,7/20/2023 12:32 PM,TTurner,27874846
3722095,No Sale Survey J'S LIQUOR (AVE F NW),https://cdn.e8.co/JEC/S3Images/57457896197e012855e378043c1968d6.jpg,Default,7/21/2023 1:08 PM,rgephardt,27870600
3718553,No Sale Survey DOLLAR GENERAL #8684,https://cdn.e8.co/JEC/S3Images/59d9ed9d3d8e4a837ba2999e08bfaefc.jpg,Default,7/19/2023 12:01 PM,JRivera,26817
3720052,No Sale Survey DOLLAR GENERAL #21380,https://cdn.e8.co/JEC/S3Images/9df0a6dba18f6769d17af5335e0b7884.jpg,Default,7/20/2023 12:33 PM,JStephens,27873183
3720845,No Sale Survey SNAPPY SNACK,https://cdn.e8.co/JEC/S3Images/529f30cf629c6f4eba494902db474da0.jpg,Default,7/21/2023 6:50 AM,tsewell,19169
3722555,No Sale Survey CAL'S #2260,https://cdn.e8.co/JEC/S3Images/130ca0b22490945e2bb71ac91908a818.jpg,Default,7/21/2023 6:10 PM,rvelasquez,27870523
3726151,No Sale Survey PHILLIPS 66 EXPRESS,https://cdn.e8.co/JEC/S3Images/6b290c10b39760f6e38104e5356b267c.jpg,Default,7/24/2023 12:12 PM,gdiaz,4435
3726625,No Sale Survey FAMILY DOLLAR #11060,https://cdn.e8.co/JEC/S3Images/2a7f8493b51a47dcc1a910faa33b5ed0.jpg,Default,7/24/2023 2:53 PM,lsmith,27872552
3727879,No Sale Survey KENT KWIK #431,,Default,7/25/2023 11:58 AM,JBright,7136
3720051,No Sale Survey DOLLAR GENERAL #21380,https://cdn.e8.co/JEC/S3Images/668cdb6781671543836f1761359c6bc2.jpg,Default,7/20/2023 12:33 PM,JStephens,27873183
3726110,No Sale Survey DOLLAR GENERAL #23928,https://cdn.e8.co/JEC/S3Images/17fbc23253e323bfe3f58c254fe83c3f.jpg,Default,7/24/2023 12:02 PM,CBurke,27875169
3726638,No Sale Survey DOLLAR GENERAL #13420,https://cdn.e8.co/JEC/S3Images/ee3ae4cb269659e82169439604f68389.jpg,Default,7/24/2023 2:54 PM,JCarrillo,27863207
3727853,No Sale Survey QT #7140,,Default,7/25/2023 11:50 AM,CBurke,27875703
3727859,No Sale Survey WESTERN BEVERAGE #71,,Default,7/25/2023 11:53 AM,JNorris_2,2966
3726629,No Sale Survey UNITED #574,https://cdn.e8.co/JEC/S3Images/f759f368ff39f05ecaf8a925bfc26f81.jpg,Default,7/24/2023 2:54 PM,btrahan,27868022
3726806,Forgot to take pic missed door time will reschedul,https://cdn.e8.co/JEC/S3Images/c005cc402a7551f090ccb28516588f87.jpg,Default,7/24/2023 8:22 PM,RPerez,8021
3718732,No Sale Survey 7 ELEVEN #41642,https://cdn.e8.co/JEC/S3Images/df47558df95a750e9001b54a488cd9c2.jpg,Default,7/19/2023 2:41 PM,ccarcel,27875237
3718751,No Sale Survey ESKIMO HUT (ABILENE),https://cdn.e8.co/JEC/S3Images/813189021992ed2d9171009d0caf5557.jpg,Default,7/19/2023 2:51 PM,cgarnto,6640
3720015,No Sale Survey STOP N GO #2194,https://cdn.e8.co/JEC/S3Images/eb0dc094df7c5c044f3b65cd0975c4ec.jpg,Default,7/20/2023 12:19 PM,jodom,9365
3720628,No Sale Survey CEDAR MART,https://cdn.e8.co/JEC/S3Images/bec8d4a857323041b4336b8233e61a39.jpg,Default,7/20/2023 6:29 PM,ksteward,278400
3721637,No Sale Survey MAPLE MINIT SHOP (MAPLE RD SE),https://cdn.e8.co/JEC/S3Images/899de16b8293f9495eaaadf0dd42b93c.jpg,Default,7/21/2023 10:57 AM,BEdwards,27832
3721628,No Sale Survey SURTI MERCADO MEXICANA,https://cdn.e8.co/JEC/S3Images/4ab65e21dee7301abea9ccfdfc6cf43d.jpg,Default,7/21/2023 10:58 AM,rvelasquez,27873217
3721958,No Sale Survey JP DUNWOODY,https://cdn.e8.co/JEC/S3Images/6e52283abfdc62b054c04a830c9fcf7a.jpg,Default,7/21/2023 12:45 PM,kperry,24718
3720012,No Sale Survey LA MEXICANA SUPERMERCADO (AUSTIN),https://cdn.e8.co/JEC/S3Images/2af90cd2a6cc8ec696451ea6b8616569.jpg,Default,7/20/2023 12:00 PM,jodom,27875708
3720013,No Sale Survey THE CROSSROADS,https://cdn.e8.co/JEC/S3Images/e585040a6e55d6e89d08c1086a529397.jpg,Default,7/20/2023 12:20 PM,SBergeron,27871568
3721629,No Sale Survey SURTI MERCADO MEXICANA,https://cdn.e8.co/JEC/S3Images/d71e9874c5f667b65e841323d0c13838.jpg,Default,7/21/2023 10:58 AM,rvelasquez,27873217
3721954,No Sale Survey CRUSH,https://cdn.e8.co/JEC/S3Images/7e70f7a068044b69d89c4aef49e1ab9e.jpg,Default,7/21/2023 12:44 PM,JRangel,27875916
3721957,No Sale Survey SUPER SPEEDWAY,https://cdn.e8.co/JEC/S3Images/546e0fab3fef5b99a48e11481ab7f154.jpg,Default,7/21/2023 12:38 PM,wpresley,23416
